STATUS,a1,a2,a3,a4,b1,b2,b3,b4,c1,c2,c3,c4,d1,d2,d3,d4
1,27,50,58,68,0,0,0,0,0,0,0,0,0,0,0,0
1,5,13,16,22,0,0,0,0,0,0,0,0,0,0,0,0
1,8,15,26,29,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0
1,34,86,119,147,0,0,0,0,0,0,0,0,0,0,0,0
1,33,47,62,69,0,0,0,0,0,0,0,0,0,0,0,0
1,16,23,29,35,0,0,0,0,0,0,0,0,0,0,0,0
1,18,29,34,50,0,0,0,0,0,0,0,0,0,0,0,0
1,14,18,20,25,0,0,0,0,0,0,1,1,7,11,13,20
1,13,29,36,44,0,0,0,0,0,0,0,0,0,0,0,0
1,11,18,23,25,0,0,0,0,0,0,0,0,0,0,0,0
1,7,13,24,28,0,0,0,0,0,0,0,0,0,0,0,0
1,4,9,21,53,0,0,0,0,0,0,0,0,0,0,0,0
1,6,7,12,18,0,0,0,0,0,0,0,0,0,0,0,0
1,5,6,10,13,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,11,15,0,0,0,0,0,0,0,0,0,0,0,0
1,45,86,126,179,0,0,0,0,0,0,0,0,0,0,0,0
1,20,49,65,74,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1,15,30,43,53,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,14,26,32,48,0,0,0,0,0,0,0,0,0,0,0,0
1,4,21,47,60,0,0,0,0,0,0,0,0,0,0,0,0
1,13,40,43,58,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,5,13,0,0,0,0,0,0,0,0,0,0,0,0
1,8,11,15,18,0,0,0,0,0,0,0,0,0,0,0,0
1,33,62,73,81,0,0,0,0,0,0,0,0,0,0,0,0
1,18,25,43,53,0,0,0,0,0,0,0,0,0,0,0,0
1,2,22,45,63,0,0,0,0,0,0,0,0,0,0,0,0
1,7,15,37,54,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,23,29,0,0,0,0,0,0,0,0,0,0,0,0
1,19,39,69,92,0,0,0,0,0,0,0,0,0,0,0,0
1,11,30,49,55,0,0,0,0,0,0,0,0,0,0,0,0
1,12,12,15,15,0,0,0,0,0,0,0,0,0,0,0,0
1,7,14,24,31,0,0,0,0,0,0,0,0,0,0,0,0
1,16,26,28,38,0,0,0,0,0,0,0,0,0,0,0,0
